Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жаліло,Василь,Іванович,Чоловіча,1938-12-04,Пекар,хутір Погребище,"провулок Левадна, буд. 498, Одеса, 23215",+380 (93) 723-75-71,onishchuknataliia@example.net
Жадан,Георгій,Андрійович,Чоловіча,1942-05-04,Етнограф,село Ромни,"провулок Мала Садова, буд. 397 кв. 26, Костянтинівка, 69839",+380 22 385-91-97,ruslanhavryliuk@example.org
Аверченко,Опанас,Юрійович,Чоловіча,1962-09-14,Модель,селище Перечин,"вулиця Миколи Гумільова, буд. 783, Берестечко, 97131",+380 15 277-52-66,demydmasokha@example.org
Бабиченко,Соломон,Іванович,Чоловіча,2004-01-28,Електрик,хутір Ялта,"проспект Шкодова гора, буд. 268, Пустомити, 15076",098 990-07-37,atroshchenkokamilla@example.net
Бабко,Азар,Петрович,Чоловіча,2004-11-02,Хореограф,хутір Авдіївка,"парк Ползунова 1-й, буд. 6, Зимогір'я, 63608",759 73 05,zorobets@example.net
Ґереґа,Степан,Павлович,Чоловіча,1972-12-02,Астронавт,селище Первомайськ,"шосе Заводська 2-га, буд. 422 кв. 2, Могилів-Подільський, 51861",013 901 90 98,havrylo75@example.net
Колесниченко,Олег,Олександрович,Чоловіча,1952-04-13,Каскадер,хутір Молодогвардійськ,"площа Наявний 3-й, буд. 26, Яворів, 28660",+380 (51) 122-75-62,boleslavvashchuk@example.com
Лубенець,Георгій,Михайлович,Чоловіча,1974-03-31,Водій,село Селидове,"провулок Ключовий 2-й, буд. 3 кв. 4, Костянтинівка, 77497",+380 70 074-61-33,anzhela88@example.org
Чміль,Симон,Юрійович,Чоловіча,1990-04-04,Різноробочий,місто Самбір,"провулок Лінія 40-ва, буд. 036, Одеса, 35519",+380 (79) 782-29-27,hermanzakusylo@example.org
Артюшенко,Демид,Михайлович,Чоловіча,1952-06-28,Штукатур,хутір Берегове,"сквер Березова, буд. 585 кв. 10, Таврійськ, 13078",+380 99 877-12-48,myroslav60@example.org
Єрошенко,Спас,Михайлович,Чоловіча,2007-04-03,Няня,селище Бобринець,"сквер Лесі Українки, буд. 2, Снятин, 26329",069 385 98 49,kybkaloiefrem@example.net
Кащенко,Герман,Петрович,Чоловіча,1989-02-11,Ювелір,хутір Малин,"площа ПшеничнаРадищева, буд. 00, Городенка, 18215",813-58-56,sviatoslavashchors@example.com
Іваничук,Петро,Анатолійович,Чоловіча,1953-05-10,Психолог,місто Суми,"провулок Князівська, буд. 4, Хирів, 72537",+380 83 857 80 42,iaroslavhuzenko@example.com
Рябовіл,Гаврило,Павлович,Чоловіча,1955-01-19,Юрист,хутір Українка ,"сквер Магнітогорський 2-й, буд. 49 кв. 5, Житомир, 75252",+380 (61) 646-27-40,lukian54@example.org
Стус,Демʼян,Михайлович,Чоловіча,1976-06-01,Доцент,село Решетилівка,"парк Макарова, буд. 4 кв. 604, Павлоград, 91513",066 250-02-20,barannykzakhar@example.org
Шиян,Ярема,Андрійович,Чоловіча,1946-04-17,Каскадер,селище Первомайськ,"узвіз 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 65 кв. 05, Любомль, 20950",074 764-29-95,iaryna59@example.org
Данько,Владислав,Павлович,Чоловіча,1945-12-16,Історик,селище Біляївка,"парк Наявний 5-й, буд. 51, Івано-Франківськ, 66725",+380 27 605-37-28,tdotsenko@example.net
Цісик,Адам,Володимирович,Чоловіча,1939-11-08,Кінорежисер,село Вилкове,"вулиця Скрипковий, буд. 89, Ірміно, 56513",117-06-17,herman07@example.net
Деркач,Валерій,Володимирович,Чоловіча,1942-06-10,Акушер,село Соледар,"провулок Скрипковий, буд. 60, Чугуїв, 55669",+380 (43) 824-90-17,sirchenkofedir@example.net
Іщенко,Венедикт,Юрійович,Чоловіча,1948-09-21,Композитор,село Жовті Води,"вулиця Лузанівська, буд. 48 кв. 902, Переяслав, 24175",+380 (56) 337-93-29,ykylymnyk@example.org
Гоголь-Яновський,Іван,Анатолійович,Чоловіча,1950-12-18,Локсмайстер,місто Старий Самбір,"шосе Грузинська, буд. 403 кв. 50, Олександрія, 06182",+380 15 534-73-57,boleslavkharchenko@example.net
Петлюра,Опанас,Петрович,Чоловіча,2005-10-25,Кур'єр,хутір Вільногірськ,"шосе Тульська, буд. 506, Лохвиця, 75234",087 443-37-63,nbandurka@example.com
Микитюк,Зорян,Михайлович,Чоловіча,1954-07-18,Археолог,село Таврійськ,"узвіз Міхновського Миколи, буд. 856, Борзна, 56970",+380 89 078-63-73,rostyslavkovaliuk@example.org
Забара,Спас,Іванович,Чоловіча,1984-11-23,Живописець,селище Радехів,"вулиця Леха Качинського, буд. 077, Кальміуське, 72240",+380 58 873-42-87,miukhymenko@example.net
Ісаєнко,Семен,Володимирович,Чоловіча,1948-10-17,Каскадер,місто Переяслав,"провулок Івана Вазова, буд. 4 кв. 60, Харків, 97317",067 093 93 93,wkorolenko@example.net
Бгиденко,Богодар,Юрійович,Чоловіча,1962-10-15,Водій,селище Кам'янське,"узвіз Селищний, буд. 59, Канів, 47867",337-17-07,skorobohatkolukian@example.net
Гук,Єлисей,Анатолійович,Чоловіча,1953-07-31,Археолог,місто Косів,"набережна Пресича Олександра, буд. 8 кв. 824, Бучач, 50296",+380 87 085 16 55,olena04@example.net
Щербак,Орест,Михайлович,Чоловіча,2008-01-26,Палеонтолог,місто Белз,"сквер Сталепрокатна, буд. 8 кв. 47, Рені, 52323",042 990 49 74,ivalenko@example.net
Даньків,Мирон,Андрійович,Чоловіча,1954-03-26,Кінолог,селище Сквира,"сквер Пейзажна, буд. 2 кв. 22, Бучач, 82353",708-92-23,ltychyna@example.org
Дашкевич,Миколай,Юрійович,Чоловіча,2002-03-09,Математик,село Харцизьк,"проспект 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 37 кв. 463, Бурштин , 07009",098 694 35 48,roksolanashakhrai@example.com
Самойленко,Болеслав,Володимирович,Чоловіча,1941-09-09,Золотар,місто Остер ,"площа Восьмого березня 1-й, буд. 70 кв. 382, Шпола, 54300",+380 (73) 580-61-36,niaremko@example.com
Устенко,Тимофій,Іванович,Чоловіча,1970-10-06,Драматург,хутір Судова Вишня,"вулиця Долинська, буд. 9 кв. 71, Хмельницький, 84603",+380 35 539-04-52,lutsenkonataliia@example.com
Козаченко,Богдан,Петрович,Чоловіча,1976-05-10,Слідчий,хутір Радивилів,"сквер Технічний, буд. 77, Переяслав, 61996",009 803 81 22,pskoryk@example.net
Петренко,Пантелеймон,Анатолійович,Чоловіча,1941-05-26,Мистецтвознавець,місто Буринь,"набережна Вокзальний, буд. 04 кв. 223, Маріуполь, 84619",090 342-43-03,nartymyshyna@example.com
Скорик,Мартин,Павлович,Чоловіча,1955-01-09,Географ,селище Корсунь-Шевченківський,"парк Торгова, буд. 6, Ватутіне, 45914",085-93-35,vakulenkolukian@example.org
Баранник,Спас,Павлович,Чоловіча,1966-08-23,Фольклорист,місто Хрестівка,"площа Миколи Плигуна, буд. 870 кв. 826, Білицьке, 87929",410-77-46,rebrykavhustyn@example.net
Шинкаренко,Яків,Андрійович,Чоловіча,1989-04-13,Астронавт,хутір Зборів,"провулок Бузковий, буд. 558, Угнів, 27263",008 168-16-48,azar73@example.org
Вахній,Богуслав,Анатолійович,Чоловіча,1991-01-27,Математик,місто Мирноград,"вулиця Балтський 7-й, буд. 36 кв. 4, Андрушівка, 86202",+380 29 157-18-47,ygalagan@example.net
Гресь,Дан,Петрович,Чоловіча,1951-02-22,Секретар,хутір Вуглегірськ,"сквер Короткий, буд. 2, Заліщики, 58706",+380 (83) 171-51-81,frankoostap@example.com
Уманець,Левко,Іванович,Чоловіча,1996-03-31,Паралегал,місто Самбір,"сквер Сурикова 1-й, буд. 775 кв. 31, Ірміно, 30867",+380 58 316-33-19,petro55@example.com
Бабич,Георгій,Олександрович,Чоловіча,1979-11-16,Фізик,місто Кілія,"сквер Байдарочний, буд. 118 кв. 0, Комарно, 89153",+380 33 972-15-52,otsymbal@example.net
Іваненко,Юстим,Андрійович,Чоловіча,2005-01-21,Драматург,місто Баранівка,"провулок Хімічна, буд. 47 кв. 7, Золотоноша, 71099",+380 83 344-85-93,bohdanmazepa@example.com
Абраменко,Дмитро,Павлович,Чоловіча,1979-04-01,Правник,село Вільнянськ,"провулок Севастопольський, буд. 562, Зміїв, 30210",+380 65 986-96-52,ustym42@example.org
Запорожець,Амвросій,Анатолійович,Чоловіча,1984-12-30,Музикознавець,хутір Вижниця,"провулок Артилерійський 2-й, буд. 336 кв. 23, Монастирище, 25729",+380 (90) 104-66-69,anita65@example.com
Туркало,Алевтин,Петрович,Чоловіча,1972-05-30,Історик,селище Харцизьк,"проспект Псковський, буд. 3 кв. 3, Червоноград, 32233",045 330-09-45,chalenkomilena@example.com
Тарасенко,Ілля,Юрійович,Чоловіча,1976-01-06,Петрограф,селище Золоте,"площа Бугаївська, буд. 66 кв. 8, Бунге , 20697",775-13-29,mmykhailiuk@example.org
Стець,Феофан,Іванович,Чоловіча,1987-01-08,Ріелтор,хутір Пирятин,"вулиця Краснослобідський, буд. 8 кв. 0, Коломия, 89653",+380 (97) 384-55-28,ubabak@example.com
Макогон,Геннадій,Іванович,Чоловіча,1949-05-24,Ветеринар,село Дрогобич,"сквер Пастера, буд. 06, Баштанка, 39679",+380 10 193 03 74,datsenkoievhen@example.com
Іщак,Мартин,Юрійович,Чоловіча,2003-03-24,Графік,місто Олешки,"провулок Пушкінська, буд. 998, Жидачів, 35371",+380 04 442-87-31,tsarenkovladyslav@example.net
Чалий,Болеслав,Михайлович,Чоловіча,1988-08-28,Кінорежисер,місто Обухів,"узвіз Курортний, буд. 8, Любомль, 32659",+380 (60) 187-02-31,riakovenko@example.org
Христич,Гліб,Петрович,Чоловіча,1976-10-02,Лікар,хутір Балта,"проспект Дукова, буд. 918, Обухів, 22053",+380 72 288-83-40,kashchenkomarko@example.org
Байдак,Павло,Володимирович,Чоловіча,1984-08-25,Намотувальник,селище Христинівка,"проспект Прохоровський, буд. 69, Радомишль, 12065",+380 (85) 695-46-60,askoryk@example.org
Онуфрієнко,Миколай,Анатолійович,Чоловіча,2000-08-12,Краєзнавець,село Мена ,"набережна Вертелецького, буд. 014, Житомир, 75841",000 601-54-87,maksymvovk@example.org
Конопленко,Пантелеймон,Олександрович,Чоловіча,1966-01-18,Вчитель,селище Василівка ,"провулок Маразліївська, буд. 91 кв. 474, Жашків, 39909",046 580 59 03,borys52@example.net
Штепа,Василь,Анатолійович,Чоловіча,1959-09-04,Бібліотекар,хутір Кам'янське,"площа Миколаївський 1-й, буд. 4, Прилуки, 22569",+380 59 109 56 13,hrechkohalyna@example.com
Алексійчук,Єфрем,Андрійович,Чоловіча,1967-03-03,Золотар,село Узин,"проспект Пересипська 3-тя, буд. 23 кв. 960, Щастя , 72826",058 063-19-21,parmen41@example.org
Захарченко,Гаврило,Петрович,Чоловіча,1973-12-29,Електрослюсар,місто Токмак,"провулок Майстерний, буд. 664, Бібрка, 31606",+380 42 639-58-46,eduard07@example.com
Свистун,Богдан,Сергійович,Чоловіча,2006-05-03,Актор,хутір Щолкіне,"набережна Михайлівська, буд. 48, Сніжне, 71384",011 670-37-09,vasylashkoleontii@example.com
Царенко,Ростислав,Юрійович,Чоловіча,1945-07-10,Футболіст,місто Кілія,"шосе Гаванна, буд. 2, Гірник , 59306",+380 24 404-34-63,obaranets@example.com
Левченко,Веніямин,Олександрович,Чоловіча,1982-06-02,Співак,селище Ірміно,"шосе Чубаївський, буд. 5, Кобеляки, 21739",003 249-03-25,anitasalii@example.com
Єщенко,Зорян,Юрійович,Чоловіча,1947-02-04,Пілот,місто Красноперекопськ,"проспект Естонська, буд. 50 кв. 84, Бердянськ, 79730",+380 (84) 290-96-20,zlavrenko@example.com
Чалий,Станіслав,Юрійович,Чоловіча,1994-05-29,Геофізик,хутір Алупка,"провулок Кондренка, буд. 3 кв. 2, Алмазна, 12033",+380 (79) 775-89-39,iereskobohdanna@example.org
Сімашкевич,Станіслав,Михайлович,Чоловіча,1981-06-08,Стоматолог,хутір Івано-Франківськ,"проспект Лінія 22-га, буд. 8 кв. 60, Помічна, 51855",090 589-88-12,danhuzenko@example.net
Цісик,Богодар,Михайлович,Чоловіча,1973-08-25,Машиніст,селище Миколаївка ,"сквер Красна, буд. 4, Гайворон, 23257",+380 (58) 144-19-09,mariia83@example.org
Пелех,Гордій,Володимирович,Чоловіча,1970-02-23,Прокурор,село Карлівка,"сквер 15-та ст. Великого Фонтану пляж, буд. 60 кв. 589, Луганськ, 62953",+380 (72) 769-52-08,venedykt72@example.com
Тимченко,Павло,Петрович,Чоловіча,1991-07-20,Музикант,хутір Полонне,"провулок Кропивницького, буд. 59 кв. 133, Добропілля, 20971",+380 16 519 96 43,tkybkalo@example.net
Юхименко,Захар,Михайлович,Чоловіча,1959-02-08,Художник,село Соледар,"сквер Вчительської, 2-й, буд. 56 кв. 7, Шахтарськ, 90897",046 407 60 56,volodymyrazakharchenko@example.com
Носаченко,Миколай,Іванович,Чоловіча,1946-12-11,Електротехнік,селище Боково-Хрустальне,"шосе Цебриківська, буд. 72, Пустомити, 11216",+380 49 671-26-30,vernydubandrii@example.com
Скоробогатько,Веніямин,Михайлович,Чоловіча,1980-10-11,Слідчий,село Новодністровськ,"набережна Прибережний, буд. 77, Старокостянтинів, 44983",640 15 87,simashkevychkhoma@example.org
Байда,Ілля,Володимирович,Чоловіча,1994-03-27,Фотограф,місто Тростянець,"набережна Хлібна гавань, буд. 0, Іллінці, 50917",+380 (70) 160-08-57,andriibazylevskyi@example.org
Полтавець,Ігор,Сергійович,Чоловіча,1958-03-11,Кінолог,місто Новий Буг,"площа Яблучна, буд. 28 кв. 09, Березівка, 68334",842 94 10,iaroslavshvedchenko@example.org
Бабич,Йосип,Олександрович,Чоловіча,2005-07-31,Актор,місто Андрушівка,"набережна Трамвайний, буд. 0 кв. 4, Первомайськ, 56350",451-60-07,stefansych@example.org
Василенко,Роман,Юрійович,Чоловіча,1994-04-24,Бібліотекар,село Мирноград,"проспект Чайковського, буд. 03 кв. 07, Ялта, 68896",671 43 50,olifirenkoielysaveta@example.com
Заруба,Іван,Петрович,Чоловіча,1995-10-23,Професор,хутір Волочиськ,"шосе Грецька, буд. 55, Балаклія, 16724",047 713 99 45,priska56@example.com
Павленко,Веніямин,Сергійович,Чоловіча,1992-05-12,Сценарист,хутір Українка ,"шосе Мигдальна, буд. 013, Мерефа, 77706",+380 (31) 904-98-77,taras99@example.com
Безбородько,Леонтій,Юрійович,Чоловіча,1984-03-08,Композитор,місто Кропивницький,"проспект Деревообробний 4-й, буд. 5 кв. 0, Могилів-Подільський, 07410",+380 83 650-66-59,mykhailyna77@example.com
Журба,Орест,Андрійович,Чоловіча,1984-11-17,Фармацевт,хутір Антрацит ,"шосе Гранатний, буд. 583, Ровеньки, 58508",+380 44 310-84-52,svitlana13@example.net
Романець,Пилип,Володимирович,Чоловіча,2008-05-17,Програміст,місто Калинівка ,"сквер Тетяни Тесс, буд. 772 кв. 963, Шаргород, 74782",+380 87 269 41 40,oberemkovladyslav@example.com
Баран,Борислав,Володимирович,Чоловіча,2003-10-14,Живописець,село Лубни,"провулок Новосельского, буд. 870 кв. 146, Жовті Води, 26317",073 346 60 64,zorian69@example.com
Байда,Панас,Володимирович,Чоловіча,1966-10-18,Публіцист,селище Нове Давидково,"узвіз Єфімова, буд. 20, Баранівка, 34718",+380 73 790-93-97,viacheslavlysenko@example.net
Кабаненко,Мирослав,Олександрович,Чоловіча,1958-10-02,Фізик,село Київ,"узвіз Надіїі, буд. 190, Андрушівка, 98724",+380 34 777-79-14,petrykalevtyn@example.com
Килимник,Юстим,Андрійович,Чоловіча,1982-07-06,Ботанік,село Вишневе ,"набережна Педагогічний, буд. 5 кв. 2, Бережани, 75362",+380 (58) 653-42-81,okhrymovychpavlo@example.net
Єрошенко,Віталій,Павлович,Чоловіча,1952-03-27,Няня,місто Сватове,"площа Лінія 45-та, буд. 14 кв. 5, Нова Одеса, 40508",+380 39 099-13-27,riabetsamaliia@example.net
Перепелиця,Захар,Андрійович,Чоловіча,1939-10-03,Астронавт,село Охтирка,"узвіз Інглезі, буд. 8 кв. 2, Родинське, 73898",560 15 95,pavlo29@example.net
Чуприна,Герман,Андрійович,Чоловіча,1944-06-19,Фотограф,місто Фастів,"вулиця Приморська, буд. 1 кв. 49, Белз, 44879",+380 54 138-19-50,emakohon@example.net
Мамчур,Азар,Павлович,Чоловіча,1967-05-03,Диригент,місто Городище ,"вулиця Середня, буд. 53 кв. 843, Кобеляки, 91894",493 90 35,iosypdrobiazko@example.org
Лемешко,Демʼян,Сергійович,Чоловіча,1943-08-06,Кінолог,хутір Херсон,"парк Прорізний, буд. 5, Сміла, 75746",+380 69 670-66-32,kolesnychenkoprokhir@example.org
Євтушенко,Максим,Михайлович,Чоловіча,1972-05-23,Редактор,хутір Фастів,"набережна Косяченка Олексія, буд. 8, Тлумач, 89808",014 113-07-61,usyrotenko@example.com
Цісик,Ярослава,Павлівна,Жіноча,1974-07-04,Стропальник,місто Ізмаїл,"сквер Дубовий гай, буд. 22, Полонне, 63217",079 459 23 75,vladyslavkadeniuk@example.net
Закусило,Лариса,Андріївна,Жіноча,1989-07-25,Інженер,хутір Золотоноша,"узвіз 19-й км Старокиївської дороги, буд. 88 кв. 876, Сквира, 85953",040 851 42 48,halynaandriishyna@example.net
Даньків,Дарина,Павлівна,Жіноча,1982-12-16,Музикознавець,село Кривий Ріг,"набережна Літня, буд. 9 кв. 4, Нетішин, 09008",052 559 52 00,tsiupasemen@example.com
Вишиваний,Вікторія,Анатоліївна,Жіноча,1973-12-31,Музикант,село Джанкой,"узвіз Лютневий 2-й, буд. 676, Львів, 41510",+380 08 582 39 14,gzaporozhets@example.org
Пушкар,Варвара,Іванівна,Жіноча,1961-01-02,Електротехнік,місто Тетіїв,"вулиця 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 71, Чугуїв, 48357",728-53-88,viramykhailiuk@example.com
Забарний,Любов,Олександрівна,Жіноча,1971-04-25,Модель,село Балаклія,"набережна Карантинна, буд. 30, Красноперекопськ, 38724",047 416-17-47,tsaienko@example.net
Твердохліб,Ліза,Андріївна,Жіноча,1943-07-11,Електромонтажник,село Переяслав,"проспект Пісочний, буд. 601 кв. 16, Тиврів, 48181",760-41-79,prokhir07@example.com
Венгринович,Роксолана,Андріївна,Жіноча,2006-05-25,Фармацевт,місто Скалат,"проспект Іподромний, буд. 2, Гірник , 43923",+380 29 750-50-12,chaikaada@example.com
Карпа,Оксана,Олександрівна,Жіноча,1977-07-18,Астрофізик,місто Вовчанськ,"узвіз Калинова, буд. 448 кв. 40, Буськ, 72201",052 980 95 02,danchukhlib@example.net
Архимович,Алла,Іванівна,Жіноча,1981-04-06,Гірничий інженер,село Косів,"сквер Керченський 3-й, буд. 34, Калуш, 43723",002 531-68-30,otsymbal@example.net
Ващенко,Сніжана,Іванівна,Жіноча,1966-01-10,Намотувальник,місто Ржищів,"парк Слєпньова, буд. 324 кв. 7, Устилуг, 92023",083 943 22 49,yfartushniak@example.org
Демиденко,Емілія,Сергіївна,Жіноча,1963-05-23,Бухгалтер,село Переяслав,"парк Садова 1-ша, буд. 20 кв. 01, Берегове, 23475",006 812-22-89,iakiv29@example.net
Бакуменко,Златослава,Сергіївна,Жіноча,1983-10-15,Кінорежисер,хутір Старий Самбір,"парк Заводська 5-та, буд. 32 кв. 2, Краматорськ, 29125",+380 (61) 806-80-51,valerii95@example.net
Даниленко,Єва,Михайлівна,Жіноча,2007-02-21,Ріелтор,селище Одеса,"проспект Дальницьке, буд. 163 кв. 997, Кам'янець-Подільський, 56951",+380 02 504 39 59,vnosachenko@example.com
Акименко,Маруся,Павлівна,Жіноча,1974-04-23,Продюсер,місто Мукачево,"проспект Авангардна, буд. 880 кв. 695, Гайворон, 45723",+380 63 194 51 46,sofiia17@example.com
Литвиненко,Богданна,Юріївна,Жіноча,1989-06-17,Астронавт,місто Енергодар,"сквер 8-ма Суворовська, буд. 6 кв. 363, Новоселиця, 80713",+380 80 708-21-09,ebabychenko@example.org
Цимбал,Марина,Олександрівна,Жіноча,2001-05-05,Складальник,хутір Антрацит ,"площа Ковалевського, буд. 53 кв. 43, Білгород-Дністровський, 60331",+380 21 076-57-33,terezahuk@example.com
Барабаш,Оксенія,Михайлівна,Жіноча,1942-11-01,Художник,село Чистякове,"набережна Перемоги, буд. 152 кв. 4, Донецьк, 36625",660-89-34,qhavriushenko@example.net
Гречко,Ірена,Володимирівна,Жіноча,1972-10-15,Прокурор,хутір Первомайськ,"шосе Казковий, буд. 6, Чорнобиль, 55457",829-14-91,dziubavadym@example.net
Андрієвич,Богданна,Михайлівна,Жіноча,1940-12-23,Флорист,село Покров,"вулиця Угорська, буд. 897 кв. 9, Скадовськ, 02430",499-26-69,whaidabura@example.com
Карпа,Одарка,Олександрівна,Жіноча,1954-05-08,Швачка,село Ялта,"парк Дунаєвського 1-й, буд. 3 кв. 653, Ланівці, 67873",068 324 80 86,uhuzenko@example.net
Юрчишин,Святослава,Петрівна,Жіноча,1944-08-07,Агроном,місто Біла Церква,"узвіз Чорноморська, буд. 32, Нетішин, 81220",979-12-94,phaida@example.org
Бездітко,Оксенія,Іванівна,Жіноча,1953-12-17,Мистецтвознавець,місто Харцизьк,"провулок Бреуса, буд. 14, Зимогір'я, 15607",993 06 02,nosenkoleontii@example.net
Ярош,Ярина,Юріївна,Жіноча,1957-06-04,Режисер,місто Почаїв,"сквер Флотський 2-й, буд. 7 кв. 578, Овруч, 51026",+380 75 408 31 71,khrystycholena@example.com
Баштан,Віра,Олександрівна,Жіноча,1996-07-22,Паралегал,хутір Оріхів,"набережна Миколи Боровського, буд. 61, Каховка, 42176",079 121-70-85,jvlasenko@example.net
Макаренко,Данна,Юріївна,Жіноча,1947-05-02,Краєзнавець,хутір Жовті Води,"набережна Бітумна, буд. 360 кв. 55, Глухів, 16876",+380 63 652-85-62,iefrem85@example.net
Годунок,Єва,Петрівна,Жіноча,1979-05-27,Мінералог,селище Снігурівка,"узвіз Леваневського, буд. 626 кв. 494, Чугуїв, 11748",065 153 57 15,myron49@example.org
Андрусенко,Єлисавета,Іванівна,Жіноча,1955-03-06,Епідеміолог,село Чуднів,"узвіз Лізи Чайкіної, буд. 54 кв. 81, Тернопіль, 91866",071 599-47-71,fomenkovasylyna@example.org
Щербань,Ірина,Іванівна,Жіноча,1995-12-22,Реабілітолог,хутір Сокаль,"сквер Гранатна, буд. 43 кв. 206, Луганськ, 44606",370-82-89,panteleimon78@example.net
Чубай,Юстина,Анатоліївна,Жіноча,1940-06-27,Історик,місто Тростянець,"вулиця Льва Симиренка, буд. 52, Каховка, 10509",047 815-86-36,ciakymenko@example.org
Колодуб,Златослава,Юріївна,Жіноча,2000-07-20,Акушер,селище Тернопіль,"площа Парусна, буд. 93 кв. 23, Красногорівка, 94969",+380 69 488 50 39,ielysei81@example.net
Забашта,Юстина,Михайлівна,Жіноча,1951-04-02,Провізор,село Тернопіль,"набережна Сергія Ейзенштейна, буд. 88, Бахчисарай, 14702",+380 57 996 40 51,talanzlatoslava@example.com
Царенко,Одарка,Олександрівна,Жіноча,1998-02-16,Складальник,хутір Гайворон,"шосе Яружний, буд. 892, Рогатин, 32090",+380 93 747-31-91,jkopytko@example.net
Зінченко,Орина,Анатоліївна,Жіноча,1966-03-08,Промисловець,село Карлівка,"парк Привокзальна, буд. 207 кв. 8, Володимир-Волинський, 55535",273 77 69,odemianchuk@example.com
Гайворонський,Ліза,Володимирівна,Жіноча,1954-01-11,Випробувач,селище Новоазовськ,"набережна Молодогвардійська, буд. 1 кв. 2, Тячів, 11470",+380 20 017-94-53,tvanchenko@example.com
Сагаль,Михайлина,Іванівна,Жіноча,1977-01-31,Архітектор,селище Сєвєродонецьк,"сквер ім. С.Ю. Вітте, буд. 8, Устилуг, 96646",260-22-69,gpalii@example.com
Чорновіл,Ірена,Анатоліївна,Жіноча,1989-01-14,Золотар,місто Джанкой,"шосе Першотравневий 2-й, буд. 6 кв. 70, Олександрівськ, 88681",026 671-39-74,avreliivakhnii@example.org
Полтавець,Ліза,Петрівна,Жіноча,1954-01-25,Електромонтер,місто Ізяслав,"сквер Смоленська, буд. 46 кв. 967, Хрустальний, 65416",+380 (05) 419-09-62,mariana62@example.org
Чорновіл,Тетяна,Петрівна,Жіноча,2002-10-30,Пекар,хутір Апостолове,"узвіз Лінія 30-та, буд. 4 кв. 97, Зоринськ, 77415",379-83-19,uvenhrynovych@example.net
Скопенко,Оксана,Михайлівна,Жіноча,1996-11-29,Електромонтажник,місто Дубно,"набережна Балтський 4-й, буд. 6 кв. 749, Берестечко, 92114",276 60 90,ievhen87@example.org
Ковалюк,Марʼяна,Михайлівна,Жіноча,1951-09-19,Електромонтер,село Красногорівка,"вулиця Тополиний, буд. 29 кв. 068, Вилкове, 15951",060 347 64 75,orest14@example.org
Височан,Анастасія,Андріївна,Жіноча,1944-07-07,Пілот,село Самбір,"площа Лядова, буд. 02 кв. 600, Рогатин, 53526",960 43 08,dshynkarenko@example.com
Тесля,Златослава,Володимирівна,Жіноча,1953-10-30,Сантехнік,село Павлоград,"вулиця Пржевальського, буд. 870, Гадяч, 91907",033 321-61-54,pylyp01@example.com
Ткаченко,Златослава,Володимирівна,Жіноча,1995-07-01,Інженер,селище Апостолове,"набережна Багрицького, буд. 5 кв. 55, Київ, 42586",085 316 48 56,ufurs@example.com
Даценко,Валентина,Юріївна,Жіноча,1955-08-30,Мікробіолог,село Сколе,"вулиця Довженка, буд. 41 кв. 3, Красноград, 46246",+380 43 769-25-02,kpavlyk@example.org
Супруненко,Михайлина,Андріївна,Жіноча,1980-10-28,Мікробіолог,місто Мерефа,"проспект 15-та ст. Великого Фонтану пляж, буд. 6 кв. 510, Вознесенівка, 78107",+380 92 562 75 95,solomiiaavdieienko@example.net
Прокопович,Едита,Юріївна,Жіноча,1963-07-20,Державний службовець,місто Ізюм,"шосе Москвіна, буд. 1, Роздільна, 40456",231-11-79,kartymyshyn@example.org
Яремків,Марʼяна,Михайлівна,Жіноча,1980-10-11,Електромонтажник,село Шпола,"вулиця Восьмого березня 2-й, буд. 22, Чигирин, 80509",067 232-36-09,babenkohalyna@example.net
Симоненко,Ада,Олександрівна,Жіноча,1941-07-28,Електрослюсар,село Чоп,"парк Соляний 6-й, буд. 60 кв. 441, Керч, 26088",+380 47 229-83-83,bezborodkotrokhym@example.net
Баранник,Анжела,Анатоліївна,Жіноча,1959-07-12,Музичний редактор,хутір Бахмут,"площа Льва Толстого, буд. 9, Кипуче, 95806",+380 68 394 17 91,poltavetsiukhym@example.com
Носенко,Розалія,Анатоліївна,Жіноча,1957-04-08,Продюсер,село Тисмениця,"шосе Святослава Ріхтера, буд. 0, Горішні Плавні, 83417",+380 11 596-16-17,dsuprunenko@example.com
Масляк,Варвара,Анатоліївна,Жіноча,1950-06-19,Євнух,місто Івано-Франківськ,"парк Олександра Тимошенка, буд. 5, Ворожба, 75900",010 968 04 58,sofiiazhuk@example.net
Шахрай,Тереза,Андріївна,Жіноча,1945-05-27,Драматург,місто Бахмут,"набережна Ушинського, буд. 0, Валки , 82959",+380 29 310-65-63,larysa30@example.net
Гаврилюк,Одарка,Павлівна,Жіноча,1940-01-04,Візажист,хутір Моспине,"набережна Молокова, буд. 639 кв. 3, Гірське, 86031",041 582 97 37,ishamrai@example.com
Бабиченко,Віра,Іванівна,Жіноча,1986-03-15,Льотчик,село Самбір,"площа Польський узвіз, буд. 116, Гірське, 56651",097 755 73 60,vyshniakvira@example.net
